feature_names,feature_importance
payement_invoice_status_open_open_amount_sum_value_2_3,116.0
complaints_complaints_complaint_type_retention_total_sum_value_1_3w,115.0
voice_weekend_n_duration_value_0_1w_1_2w,112.0
data_workingh_n_volume_sum_value_1_2w,112.0
data_roamstate_nonroaming_volume_value_0_1m_1_2m,112.0
data_workingh_y_duration_value_0_1w_1_2w,110.0
voice_call_direction_oc_duration_value_0_1m_1_3m,110.0
data_workingh_n_volume_value_0_1m_1_3m,110.0
data_workingh_y_volume_value_0_1m_1_3m,108.0
data_workingh_n_volume_sum_value_1_3,107.0
data_workingh_y_volume_sum_value_1_2w,106.0
voice_weekend_n_duration_nb_1w,106.0
voice_termination_type_offnet_duration_sum_value_3_4w,104.0
voice_termination_type_onnet_duration_sum_value_1_3w,103.0
data_roamstate_nonroaming_duration_sum_value_1_2,102.0
complaints_complaints_workingh_y_duration_nb_3m,102.0
data_workingh_n_volume_sum_2w,102.0
voice_weekend_n_duration_value_0_1m_1_2m,100.0
payement_payment_mode_na_open_amount_sum_3m,100.0
data_workingh_y_volume_sum_value_3_4w,99.0
data_workingh_n_volume_sum_value_0_1w,99.0
data_workingh_n_volume_nb_2w,97.0
data_roamstate_nonroaming_volume_sum_value_1_3,95.0
payement_invoice_status_paid_pay_delay_should_value_0_1m_1_2m,95.0
data_workingh_n_volume_sum_1w,94.0
complaints_complaints_workingh_y_duration_value_0_1m_1_3m,94.0
complaints_complaints_complaint_status_resolu_total_sum_value_0_1,94.0
payement_payment_mode_cb_open_amount_nb_3m,92.0
voice_call_direction_oc_duration_value_1_3w_3_4w,92.0
voice_destination_type_international_duration_value_0_1m_1_3m,91.0
data_workingh_n_volume_sum_value_3_4w,90.0
voice_workingh_n_duration_sum_3m,89.0
payement_payment_mode_cb_perc_paid_value_1_2m_2_3m,89.0
voice_workingh_n_duration_nb_1w,88.0
data_weekend_y_duration_sum_value_1_2w,87.0
voice_workingh_n_duration_sum_value_1_3w,86.0
voice_workingh_n_duration_nb_1m,86.0
voice_termination_type_offnet_duration_sum_value_0_1,86.0
data_workingh_y_volume_sum_value_0_1,85.0
complaints_complaints_workingh_y_total_sum_value_0_1,85.0
voice_termination_type_onnet_duration_sum_value_1_2,85.0
payement_payment_way_internet_perc_paid_value_1_2m_2_3m,84.0
complaints_complaints_complaint_status_resolu_total_value_1_2m_2_3m,84.0
complaints_complaints_complaint_type_reclamation_total_value_0_1m_1_3m,83.0
data_roamstate_nonroaming_duration_sum_value_3_4w,82.0
voice_workingh_n_duration_sum_value_1_3,82.0
payement_payment_way_internet_perc_paid_sum_3m,82.0
payement_invoice_status_open_open_amount_nb_1m,81.0
data_workingh_n_volume_sum_2m,81.0
payement_payment_mode_cb_perc_paid_sum_value_1_3,80.0
complaints_complaints_complaint_status_resolu_total_sum_value_0_1w,80.0
payement_payment_way_ussd_perc_paid_sum_value_0_1,79.0
data_workingh_n_volume_sum_value_1_2,79.0
voice_weekend_n_duration_sum_1w,79.0
data_roamstate_nonroaming_duration_sum_value_1_2w,78.0
voice_weekend_n_duration_sum_3m,78.0
data_workingh_y_duration_sum_value_1_2,78.0
voice_weekend_n_duration_nb_2w,78.0
data_workingh_y_duration_sum_value_0_1w,78.0
payement_payment_mode_especes_perc_paid_value_0_1m_1_2m,77.0
complaints_complaints_complaint_type_retention_total_sum_value_1_2,76.0
payement_payment_mode_cb_perc_paid_sum_1m,76.0
data_workingh_n_volume_sum_3m,75.0
data_roamstate_nonroaming_volume_sum_value_1_2,75.0
voice_destination_type_national_duration_sum_value_0_1w,75.0
payement_payment_mode_cb_perc_paid_sum_2m,74.0
complaints_complaints_complaint_status_resolu_total_sum_value_1_3w,73.0
voice_weekend_n_duration_sum_2m,72.0
data_roamstate_nonroaming_volume_sum_value_3_4w,72.0
voice_termination_type_offnet_duration_sum_value_1_3w,72.0
voice_workingh_n_duration_sum_value_0_1w,71.0
data_roamstate_nonroaming_duration_nb_1m,71.0
complaints_complaints_workingh_y_total_value_0_1m_1_3m,69.0
voice_destination_type_international_duration_sum_value_2_3,67.0
complaints_complaints_complaint_type_retention_total_value_1_2m_2_3m,67.0
complaints_complaints_weekend_n_total_nb_3m,67.0
data_weekend_y_duration_sum_value_0_1,67.0
payement_invoice_status_open_open_amount_value_0_1m_1_3m,66.0
payement_payment_way_internet_perc_paid_sum_value_1_3,65.0
voice_termination_type_onnet_duration_sum_value_0_1,65.0
voice_workingh_n_duration_sum_value_1_2w,64.0
voice_termination_type_onnet_duration_sum_value_3_4w,63.0
data_workingh_y_duration_sum_value_1_2w,63.0
